Date,From,Subject,bioguide_id
3/6/21 11:06,Congressman Matt Cartwright <Congressman.Cartwright@mail.house.gov>,Matt's Weekly Memo -- Investing in Rural America,C001090
3/6/21 11:38,Congresswoman Claudia Tenney <reptenney@mail8.housecommunications.gov>,This Week with Claudia #NY22,T000478
3/6/21 11:55,Office of U.S. Senator Mitt Romney <enewsletters@romney.senate.gov>,Stimulus Bill Wastes Money & Adds to the Debt,R000615
3/6/21 12:00,Congressman Emanuel Cleaver <emanuel.cleaver@capitolenews.com>,EC from DC: The American Rescue Plan Takes Another Step Toward Becoming Law,C001061
3/6/21 12:01,Congressman Markwayne Mullin <ContactRepMullin@mail.house.gov>,Pelosi's Anti-Police Agenda,M001190
3/6/21 12:04,Congressman Glenn Grothman <CongressmanGrothman@mail.house.gov>,Rep. Grothman Newsletter- For the Politicians Act,G000576
3/6/21 13:38,Senator Michael Bennet <senator_bennet@bennet.senate.gov>,The Senate Just Passed The Biden American Rescue Plan,B001267
3/6/21 14:37,Senator Jeff Merkley <Senator_Merkley@merkley.senate.gov>,"Good news, America.",M001176
3/6/21 16:06,Office of U.S. Senator Brian Schatz <do_not_reply@Schatz.senate.gov>,COVID-19 Update: Small Business Resources,S001194
3/6/21 16:46,Rep. Tom Reed <NY23TRima@mail.house.gov>,"Standing Up For Election Integrity, Voter ID",R000585
3/6/21 17:51,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,Tomorrow at 1PM: Rep. Adriano Espaillat Holds COVID Relief Press Conference,E000297
3/6/21 19:25,Office of U.S. Senator Brian Schatz <do_not_reply@Schatz.senate.gov>,COVID-19 Update: Direct Payments,S001194
3/6/21 19:55,Rep. Suzan DelBene <RepDelBene@mail.house.gov>,Progress Towards a More Just Society,D000617
3/6/21 22:45,Office of U.S. Senator Brian Schatz <do_not_reply@Schatz.senate.gov>,COVID-19 Update: Unemployment Insurance,S001194
3/7/21 1:09,Office of U.S. Senator Brian Schatz <do_not_reply@Schatz.senate.gov>,COVID-19 Update: Homeowners & Renters,S001194
3/7/21 5:27,Senator Thom Tillis <donotreply@tillis.senate.gov>,Update on Democrats’ Partisan $1.9 Trillion Spending Bill,T000476
3/7/21 9:13,Congressman Paul Gosar <Rep.Paul.Gosar@mail.house.gov>,This Week with Gosar,G000565
3/7/21 9:31,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,"Happening Today at 1PM: Espaillat, Northern Manhattan Electeds to Hold COVID Relief Press Conference",E000297
3/7/21 10:02,Congressman Gerry Connolly <GerryConnolly@mail.house.gov>,2021 Congressional Art Competition,C001078
3/7/21 10:18,Congressman Buddy Carter <GA01Newsletter@mail.house.gov>,A Partisan Election Takeover,C001103
3/7/21 10:31,Rep. Bilirakis <repbilirakis@mail8.housecommunications.gov>,Reminder:  Expanded Eligibility for Vaccination and other helpful info!,B001257
3/7/21 11:05,Congresswoman Carol Miller <miller.newsletter@mail.house.gov>,Standing Up for West Virginians,M001205
3/7/21 11:30,Congresswoman María Elvira Salazar <repsalazar@mail8.housecommunications.gov>,"Happy Sunday, South Florida!",S000168
3/7/21 12:01,Congressman Tom Rice <rice.press@mail.house.gov>,"The Rice Report: March 7, 2021",R000597
3/7/21 12:01,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,"Day of Action: Join Espaillat & Northern Manhattan Electeds Today at 1PM, COVID Relief & Recovery",E000297
3/7/21 12:33,Senator Ron Wyden <senator_wyden@wyden.senate.gov>,The boldest economic relief package just passed the Senate,W000779
3/7/21 12:46,Office of U.S. Senator Brian Schatz <do_not_reply@Schatz.senate.gov>,COVID-19 Update: Health Resources,S001194
3/7/21 13:15,Rep. Lizzie Fletcher <no-reply@mail.house.gov>,Reminder: RSVP for Monday’s COVID-19 Vaccine Telephone Town Hall,F000468
3/7/21 13:45,Rep. Dave Joyce <repjoyce@mail8.housecommunications.gov>,Dave's Weekly Wrap,J000295
3/7/21 13:46,Senator Jon Tester <senator@tester.senate.gov>,"Answering your questions LIVE on Wednesday, March 10th.",T000464
3/7/21 14:01,Rep. David Kustoff <repkustoff@mail8.housecommunications.gov>,An Update from Congressman David Kustoff,K000392
3/7/21 14:22,Senator Thom Tillis <donotreply@tillis.senate.gov>,Update on Democrats’ Partisan $1.9 Trillion Spending Bill,T000476
3/7/21 14:32,Congressman Brian Babin <repbrianbabin@mail.house.gov>,"The Growing Border Crisis, Consequences of H.R. 1, and More",B001291
3/7/21 14:47,Congressman Greg Murphy M.D. <greg.murphy@congressnewsletter.net>,From Dr. Murphy's Desk,M001210
3/7/21 14:49,Office of U.S. Senator Brian Schatz <do_not_reply@Schatz.senate.gov>,COVID-19 Update: Tax Relief for Individuals,S001194
3/7/21 15:02,Congressman Patrick McHenry <patrick.mchenry@mail.house.gov>,Congressman McHenry Weekly Update,M001156
3/7/21 16:04,Congressman Don Bacon <RepDonBaconNE02@mail.house.gov>,Legislative Update: Week of March 1,B001298
3/7/21 16:15,Rep. Mace <repmace@mail8.housecommunications.gov>,#LowcountryFirst Newsletter: Working With Anyone Willing to Work With Me,M000194
3/7/21 16:33,Congressman Jason Smith <JasonSmithNewsletter@mail.house.gov>,For The People?,S001195
3/7/21 17:25,Senator Bob Menendez <updates@menendez.senate.gov>,U.S. Senate Passed the American Rescue Plan!,M000639
3/7/21 17:29,Kevin McCarthy <RepublicanLeader@mail3.housecommunications.gov>,The Leader's Daily Schedule - 3/8/21,M001165
3/7/21 17:44,Office of U.S. Senator Brian Schatz <do_not_reply@Schatz.senate.gov>,COVID-19 Update: Health and Nutrition Programs,S001194
3/7/21 22:02,Rep. Brad Wenstrup <Representative.Wenstrup@mail.house.gov>,Vaccine eligibility expanded to 60 & older,W000815
3/7/21 23:13,Rep. Lizzie Fletcher <no-reply@mail.house.gov>,Weekly Wrap Up,F000468
3/8/21 9:43,Senator Roger Wicker <Roger_Wicker@Wicker.senate.gov>,Wicker Rejects Effort to Weaken Election Integrity,W000437
3/8/21 10:07,Representative Byron Donalds <RepByronDonalds.noresponse@mail.house.gov>,Weekly Wrap-Up with Congressman Byron Donalds,D000032
3/8/21 10:25,U.S. Congresswoman Stephanie Murphy <stephanie.murphy@mail.house.gov>,TONIGHT: Join Me for a Tele-Listening Session,M001202
3/8/21 10:45,Senator Kevin Cramer <Outreach@Cramer.Senate.gov>,My Weekly Newsletter,C001096
3/8/21 10:47,Office of U.S. Senator Brian Schatz <do_not_reply@Schatz.senate.gov>,COVID-19 Update: Information for Veterans,S001194
3/8/21 11:24,August Pfluger <reppfluger@mail8.housecommunications.gov>,Pfluger Fly-By Newsletter,P000048
3/8/21 12:01,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,Representative Adriano Espaillat Honors the Life of Music Pioneer Johnny Pacheco,E000297
3/8/21 12:07,Rep. Blake Moore <repblakemoore@mail8.housecommunications.gov>,Weekly Newsletter from the Office of Congressman Blake Moore,M001213
3/8/21 12:20,Congresswoman Nanette Barragán <rsvp.barragan@mail.house.gov>,"Vaccines, Votes, and Resources",B001300
3/8/21 12:40,Joni K. Ernst <Senator@Ernst.senate.gov>,Breaking Barriers,E000295
3/8/21 13:12,The Office of Congressman Jack Bergman <Constituent.bergman@mail.house.gov>,Bergman Introduces Rural Broadband Window of Opportunity Act,B001301
3/8/21 14:13,Congressman Joe Neguse <CongressmanJoeNeguse@mail.house.gov>,Protecting our Public Lands and Our Environment,N000191
3/8/21 14:15,U.S. Senator Rand Paul <senator@paul.senate.gov>,"Dr. Paul Weekly Newsletter- March 8, 2021",P000603
3/8/21 14:28,Rep. Randy Weber <RepRandyWeber@mail.house.gov>,Rep. Weber wants your feedback!,W000814
3/8/21 15:00,Congressman Mario Diaz-Balart <repdiazbalart@mail8.housecommunications.gov>,Mario's Message,D000600
3/8/21 16:14,The Office of Congressman Jack Bergman <Constituent.bergman@mail.house.gov>,"Bergman, Allred Lead Bipartisan Bill to Hold Foreign Governments Accountable for Cyberattacks",B001301
3/8/21 16:18,Senator Tim Scott <donotreply@scott.senate.gov>,"Pandemic Recovery Efforts, Empowering American Workers",S001184
3/8/21 17:15,Rep. Andrew Clyde <repclyde@mail8.housecommunications.gov>,Clyde in Congress: I'm opposing Democrat efforts to Federalize elections & defund our police,C001116
3/8/21 17:31,Rep. Tom Malinowski <RepTomMalinowski@mail.house.gov>,Need Help Preparing Your Taxes?,M001203
3/8/21 17:35,Congressman Mark DeSaulnier <Congressman.DeSaulnier@mail.house.gov>,The DeSaulnier Digest: Upcoming Small Business Town Hall,D000623
3/8/21 17:42,Congressman Antonio R. Delgado <RepAntonioDelgado@mail.house.gov>,Tune in: American Rescue Plan Virtual Town Hall,D000630
3/8/21 18:11,Congressman Drew Ferguson <GA03DF.Outreach@mail.house.gov>,Partisan Takeover of Our Elections,F000465
3/8/21 18:24,Congresswoman Lisa McClain <MI10LM.Outreach@mail.house.gov>,Congresswoman McClain Weekly Update,M001136
3/8/21 19:28,Senator Todd Young <contact@young.senate.gov>,"Backing Vaccine Funding and Stimulus Checks, Rejecting Non-COVID Spending in ‘Relief’ Plan",Y000064
3/8/21 19:30,Senator Shelley Moore Capito <donotreply@capito.senate.gov>,The Latest from the U.S. Senate,C001047
3/8/21 20:27,Senator Jim Risch <JamesRisch_OutboxOnly@risch.senate.gov>,"As deficit nears $30T, Idaho offers better solutions",R000584
3/8/21 20:32,Congressman French Hill <congressman.hill@mail.house.gov>,District Update: Standing up for election integrity,H001072
3/8/21 21:09,Kevin McCarthy <RepublicanLeader@mail3.housecommunications.gov>,The Leader's Daily Schedule - 3/9/21,M001165
3/8/21 21:10,Senator Jerry Moran <Do_Not_Reply@moran.senate.gov>,Identifying the Remains of Father Emil Kapaun,M000934
3/9/21,WATCH: Rep. Raskin's Medicare 101 Forum,"March 9, 2021	Dear Neighbor,	Did you know that some individuals get Medicare coverage automatically, and others have to¬†sign up for coverage? You may have to sign up if you‚Äôre 65, or¬†almost 65, and not currently getting Social Security. Many Americans don't realize that they may have to pay a penalty if they do not enroll in Medicare Part B coverage when they are first eligible.¬†¬†	I recently hosted a virtual¬†Medicare 101 Forum¬†with Diana Varela of the Social Security Administration (SSA) and¬†Sharon Graham of the Centers for Medicare and Medicaid Services (CMS) to help guide constituents on their individual Medicare journeys.¬†	Our Forum provides essential information and answers common questions about Medicare, including:¬†		Who is eligible for Medicare?	How do I enroll in Medicare?	When can I enroll in Medicare?		Initial Enrollment Period: beginning 3 months before and ending 3 months after your 65th birthday	General Enrollment Period: January 1 to March 31, with coverage beginning in July	Special Enrollment Period: applies if you are 65 and over and covered in a group health plan based on your or your spouse‚Äôs current employment¬†¬†			How much will Medicare Coverage cost?	What help is available for people with limited income and resources?	What are the different parts of Medicare?		Part A ‚Äì Hospital Insurance¬†	Part B ‚Äì Medical Insurance¬†	Part D ‚Äì Prescription Drug Care¬†	Medigap (also known as Supplemental Insurance Coverage)¬†	Medicare Advantage (includes Part A, B, D and extra benefits)			What care does Medicare cover? What care is not covered by Part A and Part B?	What factors should I consider when deciding if I should enroll in Medicare?	What should I do if I disagree with a denial of coverage for care I received?		Because Social Security and Medicare services are often related, it can be confusing to determine which agency to contact for help. I encourage you to use this chart to¬†help you determine which agency to contact.¬†	I encourage all interested constituents to watch our virtual forum by clicking here or clicking the image below.¬†	If you have any questions, please call my District Office at 301-354-1000.								As always, I encourage people across the 8th District to continue to share their concerns and insights with me and my staff by¬†contacting my¬†office¬†or connecting with me on¬†Facebook,¬†Twitter, or¬†Instagram.¬†	All Best,				This mailbox cannot receive replies. To email me, please click here.",R000606
3/9/21 9:16,Steve Stivers <Stivers.Enews@mail.house.gov>,No One Left Behind,S001187
3/9/21 10:23,Congressman Rodney Davis <noreply@mail8.housecommunications.gov>,Weekly Update:  Democrats Want the Federal Government In Control of Our Elections,M001159
3/9/21 11:15,Congresswoman Debbie Dingell <enewsMI12@mail.house.gov>,"Dingell Update: March 9, 2021",D000624
3/9/21 11:44,Congresswoman Marcia Fudge <OH11MFOutreach@mail.house.gov>,Vaccine Update From Rep. Marcia L. Fudge,F000455
3/9/21 11:57,Rep. Dan Newhouse <repnewhouse@mail8.housecommunications.gov>,Weekly Column: Defending Our Second Amendment Rights,N000189
3/9/21 12:01,Rep. Dan Newhouse <repnewhouse@mail8.housecommunications.gov>,Weekly Column: Defending Our Second Amendment Rights,N000189
3/9/21 12:38,Office of Congresswoman Marjorie Taylor Greene <repgreene@mail8.housecommunications.gov>,VIDEO: Congresswoman Marjorie Taylor Greene Rises  in Opposition to Tyrannical Gun Control Laws that Leave Americans DEFENSELESS,G000596
3/9/21 14:06,Congressman Tom Rice <rice.press@mail.house.gov>,Covid-19 Vaccine Newsletter,R000597
3/9/21 15:31,Office of U.S. Senator Tammy Baldwin <enews@baldwin.senate.gov>,Baldwin Takes Action to Protect Rights of Airplane Passengers with Disabilities,B001230
3/9/21 15:50,Rep. Tom Malinowski <RepTomMalinowski@mail.house.gov>,IMPORTANT: PPP Exclusive Application Window Deadline,M001203
3/9/21 15:56,Congressman Michael Cloud <noreply@mail8.housecommunications.gov>,Protecting the Right to Keep and Bear Arms,M001159
3/9/21 16:29,Congressman Kevin Brady <congressman.brady@mail.house.gov>,ICYMI: Brady Talks Biden Border Crisis,B000755
3/9/21 17:15,Rep. Nancy Mace <repmace@mail8.housecommunications.gov>,Call in to My Telephone Town Hall TONIGHT,M000194
3/9/21 18:42,U.S. Senator Bernie Sanders <Info_Sanders@sanders.senate.gov>,"Vermont Students: Join Me for a Virtual Town Meeting — Monday, 7:30 P.M.",S000033
3/9/21 18:44,Senator Manchin <donotreply@manchin.senate.gov>,"U.S. Senator Joe Manchin Newsletter - March 9, 2021",M001183
3/9/21 18:56,Senator Rick Scott <Outreach@rickscott.senate.gov>,ICYMI: Sen. Rick Scott: Americans Deserve Better Than Democrats’ $2 Trillion Spending Disaster,S001217
3/9/21 19:30,Rep. Carlos A. Gimenez <repgimenez@mail8.housecommunications.gov>,Newsletter: Gimenez Applauds DeSantis for COVID-19 Relief Efforts in Florida,G000593
3/9/21 22:03,Kevin McCarthy <RepublicanLeader@mail3.housecommunications.gov>,The Leader's Daily Schedule - 3/10/21,M001165
3/10/21 10:22,Congressman David Price <Price@mail.house.gov>,Join Me Next Week for My 4th District Town Hall,P000523
3/10/21 10:39,Rep. Bilirakis <repbilirakis@mail8.housecommunications.gov>,Reminder:  Expanded Eligibility for Vaccination!,B001257
3/10/21 11:03,Congressman Henry Cuellar <rep.cuellar@mail.house.gov>,Congressional Report,C001063
3/10/21 12:10,Senator Pat Toomey <pat_noreply@toomey.senate.gov>,No Justification for $1.9 Trillion Democrat Spending Bill,T000461
3/10/21 12:16,The Office of Congressman Jack Bergman <Constituent.bergman@mail.house.gov>,Bergman Cosponsors REINS Act to Bring Balance of Power Back to Washington,B001301
3/10/21 13:50,Office of Congresswoman Marjorie Taylor Greene <repgreene@mail8.housecommunications.gov>,"Republicans Should Use Every Single Tool,' Rep. Greene Responds to 40 Republican Votes To Enable The Democrats' Hate America Agenda",G000596
3/10/21 14:26,Congresswoman Lori Trahan <Rep.LoriTrahan@mail.house.gov>,The American Rescue Plan: What to Expect,T000482
3/10/21 14:30,Congresswoman Joyce Beatty <Congresswoman.Beatty@mail.house.gov>,Getting Real COVID-19 Relief to YOU!,B001281
3/10/21 14:40,Rep. Brian Babin <repbrianbabin@mail.house.gov>,POLL: Protecting the Second Amendment,B001291
3/10/21 14:58,The Office of Congressman Jack Bergman <Constituent.bergman@mail.house.gov>,Bergman Opposes Partisan $1.9 Trillion Spending Bill,B001301
3/10/21 15:13,Rep. Bilirakis <repbilirakis@mail8.housecommunications.gov>,Do you trust Big Tech?,B001257
3/10/21 15:28,Rep. Josh Gottheimer <Josh-Gottheimer.no-reply@mail.house.gov>,2021 Winter Newsletter,G000583
3/10/21 15:30,Rep. Trey Hollingsworth <noreply@mail8.housecommunications.gov>,Poll: Unions in the Workplace,M001159
3/10/21 15:54,Senator Sinema <Senator.Sinema@sinema.senate.gov>,We secured Arizona’s priorities in the coronavirus relief package,S001191
3/10/21 16:03,Office of U.S. Senator James E. Risch <press_@risch.senate.gov>,Risch on Final Passage of Democrats’ $1.9T Spending Bill,R000584
3/10/21 18:04,Representative Abigail Spanberger <Press.Spanberger@mail.house.gov>,Upcoming Town Hall with Dr. Danny Avula,S001209
3/10/21 18:06,Congressman Kevin Brady <congressman.brady@mail.house.gov>,The Biden Border Crisis is Real,B000755
3/10/21 18:29,Sen. Mark Warner <donotreply@warner.senate.gov>,How You'll Benefit From the American Rescue Plan,W000805
3/10/21 18:46,Rep. Takano <reptakano@mail8.housecommunications.gov>,Congress passed a $1.9 trillion COVID-19 relief bill,T000472
3/10/21 18:50,Senator Jeff Merkley <Senator_Merkley@merkley.senate.gov>,Another big step forward.,M001176
3/10/21 19:13,Kevin McCarthy <RepublicanLeader@mail3.housecommunications.gov>,The Leader's Daily Schedule - 3/11/21,M001165
3/11/21 8:02,Congressman Gerry Connolly <GerryConnolly@mail.house.gov>,Enough is enough,C001078
3/11/21 9:02,Congressman Bob Latta <boblatta@mail.house.gov>,SURVEY: Big Tech CEOs Come to Washington,L000566
3/11/21 9:25,Congresswoman Debbie Dingell <enewsMI12@mail.house.gov>,House Passes Historic Relief Package for the American People,D000624
3/11/21 10:32,Rep. Mary Gay Scanlon <RepScanlon@mail.house.gov>,Help for Children & Schools Is on the Way!,S001205
3/11/21 10:33,Congressman Drew Ferguson <GA03DF.Outreach@mail.house.gov>,InstaPoll: Second Amendment Rights,F000465
3/11/21 10:44,Congresswoman Alma Adams <no-reply@mail.house.gov>,HBCU STEAM Day,A000370
3/11/21 11:35,U.S. Congresswoman Stephanie Murphy <stephanie.murphy@mail.house.gov>,Join Me for a Tax Season Information Session,M001202
3/11/21 11:38,Senator Rick Scott <Outreach@rickscott.senate.gov>,ICYMI: Sen. Rick Scott is Working to Bring Tourism Back to Florida,S001217
3/11/21 12:08,Rep. Blake Moore <repblakemoore@mail8.housecommunications.gov>,Reminder: Weekly Newsletter from the Office of Congressman Blake Moore,M001213
3/11/21 13:03,The Office of Congressman Jack Bergman <Constituent.bergman@mail.house.gov>,Bergman Opposes Anti-Gun Legislation,B001301
3/11/21 13:17,Rep. Ritchie Torres <reptorres@mail8.housecommunications.gov>,Updates from my first months in Congress,T000486
3/11/21 13:21,Congresswoman Nanette Barragán <rsvp.barragan@mail.house.gov>,"The Road to Recovery: Instagram Live TODAY, 3PM",B001300
3/11/21 13:48,Congresswoman Joyce Beatty <Congresswoman.Beatty@mail.house.gov>,Enough is Enough!,B001281
3/11/21 13:52,Congressman Paul Gosar <Rep.Paul.Gosar@mail.house.gov>,"Gosar, Hyde-Smith Introduce Legislation to Block State Gun Registries",G000565
3/11/21 14:52,The Durbin Report <newsletter@durbin.senate.gov>,Illinois Wins with the American Rescue Plan,D000563
3/11/21 14:57,Office of U.S. Senator Tammy Baldwin <enews@baldwin.senate.gov>,Baldwin Works to Reduce Child Poverty,B001230
3/11/21 15:37,Congressman Kevin Brady <congressman.brady@mail.house.gov>,They Want to Take Away Your Rights (Again),B000755
3/11/21 15:47,The Office of Congresswoman Nicole Malliotakis <repmalliotakis@mail8.housecommunications.gov>,FOR IMMEDIATE RELEASE: Malliotakis Pushes to Extend PPP Application Deadline,M000317
3/11/21 16:36,Congressman John Curtis <noreply@mail.house.gov>,Join me for a Town Hall near you!,H001083
3/11/21 16:53,Rep. Takano <reptakano@mail8.housecommunications.gov>,The House unanimously passed my VA VACCINE Act,T000472
3/11/21 16:59,Jack Reed <Jack@reed.senate.gov>,Help is on the way!,R000122
3/11/21 17:02,Congressman Ronny Jackson <CongressmanRonnyJackson.noreply@mail.house.gov>,Rep. Jackson supports your 2A rights!,J000304
3/11/21 17:10,Congressman Joe Neguse <CongressmanJoeNeguse@mail.house.gov>,Here's How You Could Benefit from the American Rescue Plan,N000191
3/11/21 17:13,Rep. Jimmy Gomez <Congressman.Gomez@mail.house.gov>,What's in the American Rescue Plan Act?,G000585
3/11/21 17:20,Congressman Jody Hice <rep.jodyhice@mail.house.gov>,Biden's Budget Buster,H001071
3/11/21 18:04,Senator Martin Heinrich <donotreply@heinrich.senate.gov>,VIDEO: Confirming Deb Haaland,H001046
3/11/21 18:23,Congressman Ed Perlmutter <EdPerlmutter@mail.house.gov>,Supporting our recovery,P000593
3/11/21 18:40,Rep. Randy Weber <RepRandyWeber@mail.house.gov>,Rep. Weber wants to hear from you!,W000814
3/11/21 19:01,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,Upper Manhattan COVID-19 Memorial Service,E000297
3/11/21 19:02,Congressman Raja Krishnamoorthi <CongressmanRaja@mail.house.gov>,Final Passage of the American Rescue Plan Act and Other Updates,K000391
3/11/21 20:39,Rep. Veronica Escobar <Veronica.Escobar@mail.house.gov>,📆 Mark Your Calendars – Help is on the Way!,E000299
3/11/21 21:59,Senator Jeff Merkley <Senator_Merkley@merkley.senate.gov>,If the Big One hits,M001176
3/11/21 22:00,Rep. Salud Carbajal <Noreply.Carbajal@mail.house.gov>,Help is here!,C001112
3/12/21,"You're Invited: Telephone Town Hall on Monday, March 15","March 12, 2021	Dear Neighbor,		I wanted to take a moment to invite you to my upcoming Telephone Town Hall this Monday, March 15th from 6:00 to 7:00 pm. I will provide an overview of the American Rescue Plan, which Congress passed this week and President Biden signed into law yesterday.	If you would like to join me for the Town Hall,¬†RSVP here to receive a call on Monday evening.	You may also join the call by dialing 877-300-1219. If you are unable to join the call, you may stream the audio or closed captioning on¬†my website here.¬†	Participants will have an opportunity to ask questions about the American Rescue Plan and get the latest update on our federal response to the ongoing Coronavirus public health and economic crisis.¬†¬†	As always, I encourage people across the 8th District to continue to share their concerns and insights with me and my staff by contacting my¬†office¬†or connecting with me on¬†Facebook,¬†Twitter, or¬†Instagram.¬†			All Best,									This mailbox cannot receive replies. To email me, please click here.",R000606
3/12/21 9:57,Rep. Swalwell <repswalwell@mail8.housecommunications.gov>,This Week in Washington,S001193
3/12/21 10:05,Rep. Kathy Castor <kathy.castor@mail.house.gov>,"HouseWatch Alert Week of March 12, 2021",C001066
3/12/21 10:16,Rep. Tom Malinowski <RepTomMalinowski@mail.house.gov>,What YOU Need to Know About the American Rescue Plan,M001203
3/12/21 10:36,Congressman Rick Allen <allen.ga@mail.house.gov>,"This Week in Washington: Wasteful Spending, Pro Union Bosses, Attack on 2A",A000372
3/12/21 10:49,Senator Gary Peters <Senator@peters.senate.gov>,See How the American Rescue Plan Can Help You & Your Family ⬇️,P000595
3/12/21 10:57,Congressman Chris Stewart <Congressman.Stewart@mail.house.gov>,Newsletter Template,S001192
3/12/21 11:49,Senator Ron Wyden <senator_wyden@wyden.senate.gov>,The boldest economic relief package in American history was just passed into law. Here’s what this good news means for Oregon.,W000779
3/12/21 12:31,Congresswoman Jaime Herrera Beutler <WA03.HerreraBeutler@mail.house.gov>,"Returning kids to classrooms, pressing for rural vaccine access, and more",H001056
3/12/21 12:44,The Office of Senator John Thune <no_reply@thune.enews.senate.gov>,Putting South Dakota's Priorities First,T000250
3/12/21 12:52,Office of Congresswoman Marjorie Taylor Greene <repgreene@mail8.housecommunications.gov>,NEW BILL: Rep. Greene Introduces 'Protect America First Act' to End Joe Biden's Border Crisis With ﻿Complete Immigration Moratorium For Four Years,G000596
3/12/21 13:02,Rep. Billy Long <Congressman.BillyLong@mail.house.gov>,No Idea Why You Wouldn't Need an I.D.,L000576
3/12/21 13:02,Congressman Blaine Luetkemeyer <Congressman.Luetkemeyer@mail.house.gov>,Blaine’s Bulletin: The Far-Left To-Do List,L000569
3/12/21 13:08,Congressman Kevin Brady <congressman.brady@mail.house.gov>,ICYMI: Congressman Brady on Houston's Morning News,B000755
3/12/21 13:45,The Office of Congressman Jack Bergman <Constituent.bergman@mail.house.gov>,Bergman: Whitmer's Propane Pipe Dream Will Leave Yoopers Out In The Cold,B001301
3/12/21 13:53,Rep. Mikie Sherrill <noreply@mail.house.gov>,The American Rescue Plan,H001083
3/12/21 14:16,Office of U.S. Senator Mitt Romney <enewsletters@romney.senate.gov>,Finding a Solution for Utah’s National Monuments.,R000615
3/12/21 14:16,Rep. Veronica Escobar <Veronica.Escobar@mail.house.gov>,📆 Don’t Miss My Tele-Town Hall!,E000299
3/12/21 14:30,Rep. Diana Harshbarger <repharshbarger@mail8.housecommunications.gov>,From the Desk of Congresswoman Diana Harshbarger,H001086
3/12/21 14:32,Senator Christopher Murphy <senator_@murphy.senate.gov>,Senator Murphy COVID-19 Weekly Update and Town Hall Invite: March 12,M001169
3/12/21 14:32,Rep. Randy Feenstra <repfeenstra@mail8.housecommunications.gov>,Randy’s Roundup: Supporting Iowa Workers and Defending Our Second Amendment Rights,F000446
3/12/21 14:36,"""Blumenauer, Earl"" <Congressman.EarlBlumenauer@mail.house.gov>",Big milestone in the fight against gun violence,B000574
3/12/21 14:52,Congressman H. Morgan Griffith <Griffith.News@mail.house.gov>,Standing up for the Second Amendment,G000568
3/12/21 15:00,Rep. Ken Buck <repbuck@mail8.housecommunications.gov>,"Floor Wrap-Up: Gun Control Bills, Why I Voted ""NO""",B001297
3/12/21 15:02,Jack Bergman <Constituent.bergman@mail.house.gov>,📰 The Bergman Brief,B001301
3/12/21 15:06,Congresswoman Alma Adams <no-reply@mail.house.gov>,2021 Congressional Art Competition,A000370
3/12/21 15:43,Rep. Matt Rosendale <repmattrosendale.noreply@mail.house.gov>,An Update from My Office,R000103
3/12/21 15:43,Congressman Louie Gohmert <louie.gohmert@mail.house.gov>,Rep. Gohmert on Newsmax: Biden Administration Created the Border Crisis,G000552
3/12/21 16:01,Congressman Bruce Westerman <info@ar04bw.congressnewsletter.net>,Westerman 3.12.21,W000821
3/12/21 16:08,Rep. Dan Newhouse <repnewhouse@mail8.housecommunications.gov>,President Biden's Border Crisis,N000189
3/12/21 16:09,Rep. Dan Newhouse <repnewhouse@mail8.housecommunications.gov>,President Biden's Border Crisis,N000189
3/12/21 16:10,Congresswoman Ann McLane Kuster <NH02AMIMA@mail.house.gov>,Delivering Much-Needed Relief,K000382
3/12/21 16:24,Congressman Van Taylor <RepVanTaylor@mail.house.gov>,What was your experience during the winter storm?,T000479
3/12/21 16:45,Congresswoman Virginia Foxx <virginia.foxx.enews@mail.house.gov>,A $47 Billion Union Boss Bailout,F000450
3/12/21 16:54,Rep. Barry Loudermilk <Barry.Loudermilk@mail.house.gov>,Rep. Loudermilk's Weekly Newsletter,L000583
3/12/21 17:09,Congressman Ro Khanna <RepRoKhanna@mail.house.gov>,The American Rescue Plan: What to Expect,K000389
3/12/21 17:15,Rep. Andrew Clyde <repclyde@mail8.housecommunications.gov>,Reminder: Clyde in Congress: I'm opposing Democrat efforts to Federalize elections & defund our police,C001116
3/12/21 17:19,Senator Jon Tester <senator@tester.senate.gov>,"FlatTop Headlines - March 12, 2021",T000464
3/12/21 17:32,Senator Mike Lee <SenMikeLee@lee.senate.gov>,Washington in a Week - Utah Delegation Takes a Stand for our Lands,L000577
3/12/21 17:35,Senator Marco Rubio <newsletter@rubio.senate.gov>,This Week in the Office of Senator Marco Rubio,R000595
3/12/21 17:37,Congresswoman Lisa McClain <MI10LM.Outreach@mail.house.gov>,Congresswoman McClain Weekly Update,M001136
3/12/21 17:47,Rep. Randy Weber <RepRandyWeber@mail.house.gov>,Rep. Randy Weber e-Newsletter,W000814
3/12/21 17:58,Congressman Steny Hoyer <Steny.Hoyer4@mail.house.gov>,The American Rescue Plan Gives Urgent Relief to Maryland Families,H000874
3/12/21 18:00,Senator Jacky Rosen <Outgoing@rosen.senate.gov>,Senator Rosen's Senate Briefing,R000608
3/12/21 18:01,Rep. Randy Weber (TX-14) <RepRandyWeber@mail.house.gov>,Reps. Weber and Cloud Call on FSA to Help Redfish Industry,W000814
